DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
03M191,The Riverside School for Makers and Artists,2019-20,530,89,40,39,49,52,41,48,51,67,54,0,0,0,0,250,0.472,280,0.528,54,0.102,165,0.311,236,0.445,10,0.019,65,0.123,142,0.268,23,0.043,356,67.20%,69.60%
03M199,P.S. 199 Jessie Isador Straus,2019-20,761,0,116,121,101,126,148,149,0,0,0,0,0,0,0,391,0.514,370,0.486,119,0.156,35,0.046,70,0.092,56,0.074,481,0.632,149,0.196,17,0.022,74,9.70%,12.50%
03M241,STEM Institute of Manhattan,2019-20,97,0,6,10,11,27,21,22,0,0,0,0,0,0,0,47,0.485,50,0.515,3,0.031,53,0.546,32,0.33,2,0.021,7,0.072,34,0.351,15,0.155,Above 95%,Above 95%,91.80%
03M242,P.S. 242 - The Young Diplomats Magnet Academy,2019-20,140,23,24,19,14,28,15,17,0,0,0,0,0,0,0,61,0.436,79,0.564,4,0.029,89,0.636,40,0.286,4,0.029,3,0.021,46,0.329,11,0.079,118,84.30%,85.00%
03M243,M.S. 243 Center School,2019-20,247,0,0,0,0,0,0,64,63,61,59,0,0,0,0,127,0.514,120,0.486,19,0.077,40,0.162,50,0.202,6,0.024,132,0.534,47,0.19,0,0,32,13.00%,20.80%
03M245,M.S. M245 The Computer School,2019-20,403,0,0,0,0,0,0,0,141,130,132,0,0,0,0,207,0.514,196,0.486,28,0.069,55,0.136,113,0.28,29,0.072,178,0.442,86,0.213,5,0.012,126,31.30%,35.40%
03M247,M.S. M247 Dual Language Middle School,2019-20,231,0,0,0,0,0,0,0,85,77,69,0,0,0,0,125,0.541,106,0.459,2,0.009,4,0.017,216,0.935,0,0,9,0.039,65,0.281,54,0.234,199,86.10%,85.20%
03M250,M.S. 250 West Side Collaborative Middle School,2019-20,152,0,0,0,0,0,0,0,45,52,55,0,0,0,0,85,0.559,67,0.441,2,0.013,57,0.375,77,0.507,7,0.046,9,0.059,53,0.349,8,0.053,112,73.70%,76.70%
03M256,Lafayette Academy,2019-20,143,0,0,0,0,0,0,0,50,52,41,0,0,0,0,71,0.497,72,0.503,1,0.007,57,0.399,41,0.287,5,0.035,39,0.273,32,0.224,16,0.112,97,67.80%,63.20%
03M258,Community Action School - MS 258,2019-20,244,0,0,0,0,0,0,0,86,84,74,0,0,0,0,119,0.488,125,0.512,8,0.033,75,0.307,134,0.549,4,0.016,23,0.094,62,0.254,21,0.086,184,75.40%,78.60%
03M291,West End Secondary School,2019-20,534,0,0,0,0,0,0,0,96,115,106,99,118,0,0,300,0.562,234,0.438,30,0.056,38,0.071,100,0.187,17,0.032,349,0.654,112,0.21,0,0,102,19.10%,21.40%
03M299,The Maxine Greene HS for Imaginative Inquiry,2019-20,285,0,0,0,0,0,0,0,0,0,0,81,54,75,75,148,0.519,137,0.481,9,0.032,108,0.379,148,0.519,5,0.018,15,0.053,70,0.246,40,0.14,247,86.70%,89.00%
03M307,"Urban Assembly School for Media Studies, The",2019-20,409,0,0,0,0,0,0,0,0,0,0,109,110,97,93,215,0.526,194,0.474,7,0.017,119,0.291,266,0.65,10,0.024,7,0.017,67,0.164,10,0.024,352,86.10%,85.10%
03M333,P.S. 333 Manhattan School for Children,2019-20,689,0,80,80,82,90,85,83,64,64,61,0,0,0,0,346,0.502,343,0.498,49,0.071,92,0.134,120,0.174,51,0.074,377,0.547,169,0.245,16,0.023,142,20.60%,30.90%
03M334,The Anderson School,2019-20,522,0,50,58,58,58,58,54,64,63,59,0,0,0,0,240,0.46,282,0.54,163,0.312,13,0.025,45,0.086,61,0.117,240,0.46,50,0.096,0,0,63,12.10%,14.50%
03M402,The Urban Assembly School for Green Careers,2019-20,305,0,0,0,0,0,0,0,0,0,0,94,79,69,63,127,0.416,178,0.584,10,0.033,66,0.216,207,0.679,6,0.02,16,0.052,71,0.233,36,0.118,252,82.60%,84.50%
03M403,The Global Learning Collaborative,2019-20,419,0,0,0,0,0,0,0,0,0,0,105,106,113,95,204,0.487,215,0.513,9,0.021,96,0.229,294,0.702,7,0.017,13,0.031,94,0.224,45,0.107,350,83.50%,87.10%
03M404,Innovation Diploma Plus,2019-20,175,0,0,0,0,0,0,0,0,0,0,0,27,51,97,81,0.463,94,0.537,2,0.011,52,0.297,117,0.669,0,0,4,0.023,26,0.149,17,0.097,152,86.90%,87.90%
03M415,Wadleigh Secondary School for the Performing & Vis,2019-20,313,0,0,0,0,0,0,0,31,22,34,81,55,48,42,207,0.661,106,0.339,3,0.01,141,0.45,150,0.479,14,0.045,5,0.016,71,0.227,13,0.042,264,84.30%,88.60%
03M417,Frank McCourt High School,2019-20,402,0,0,0,0,0,0,0,0,0,0,105,94,106,97,220,0.547,182,0.453,18,0.045,42,0.104,184,0.458,25,0.062,133,0.331,87,0.216,7,0.017,180,44.80%,47.10%
03M421,West Prep Academy,2019-20,183,0,0,0,0,0,0,0,48,66,69,0,0,0,0,78,0.426,105,0.574,2,0.011,90,0.492,79,0.432,3,0.016,9,0.049,66,0.361,12,0.066,150,82.00%,85.30%
03M452,P.S. 452,2019-20,412,54,83,79,53,49,51,43,0,0,0,0,0,0,0,193,0.468,219,0.532,62,0.15,41,0.1,67,0.163,18,0.044,224,0.544,71,0.172,14,0.034,86,20.90%,24.60%
03M479,Beacon High School,2019-20,"1,469",0,0,0,0,0,0,0,0,0,0,366,369,389,345,920,0.626,549,0.374,144,0.098,222,0.151,300,0.204,162,0.11,641,0.436,193,0.131,1,0.001,405,27.60%,32.40%
03M485,Fiorello H. LaGuardia High School of Music & Art a,2019-20,"2,946",0,0,0,0,0,0,0,0,0,0,904,631,777,634,"2,233",0.758,713,0.242,593,0.201,272,0.092,512,0.174,301,0.102,"1,268",0.43,107,0.036,6,0.002,878,29.80%,32.40%
03M492,"High School for Law, Advocacy and Community Justic",2019-20,405,0,0,0,0,0,0,0,0,0,0,138,109,62,96,240,0.593,165,0.407,22,0.054,126,0.311,230,0.568,13,0.032,14,0.035,63,0.156,21,0.052,369,91.10%,86.00%
03M494,High School of Arts and Technology,2019-20,459,0,0,0,0,0,0,0,0,0,0,133,138,90,98,153,0.333,306,0.667,29,0.063,131,0.285,272,0.593,11,0.024,16,0.035,110,0.24,34,0.074,376,81.90%,85.90%
03M505,Edward A. Reynolds West Side High School,2019-20,381,0,0,0,0,0,0,0,0,0,0,14,92,130,145,176,0.462,205,0.538,0,0,135,0.354,232,0.609,6,0.016,8,0.021,162,0.425,35,0.092,330,86.60%,90.00%
03M541,Manhattan / Hunter Science High School,2019-20,455,0,0,0,0,0,0,0,0,0,0,120,112,111,112,274,0.602,181,0.398,123,0.27,80,0.176,131,0.288,25,0.055,96,0.211,65,0.143,2,0.004,278,61.10%,55.50%
03M859,Special Music School,2019-20,306,0,13,14,15,15,15,15,14,12,18,38,41,48,48,153,0.5,153,0.5,43,0.141,22,0.072,46,0.15,54,0.176,141,0.461,36,0.118,2,0.007,53,17.30%,28.00%
03M860,Frederick Douglass Academy II Secondary School,2019-20,321,0,0,0,0,0,0,0,27,23,23,73,67,59,49,137,0.427,184,0.573,3,0.009,197,0.614,103,0.321,7,0.022,11,0.034,80,0.249,31,0.097,273,85.00%,89.50%
03M862,Mott Hall II,2019-20,415,0,0,0,0,0,0,0,133,148,134,0,0,0,0,183,0.441,232,0.559,20,0.048,98,0.236,187,0.451,18,0.043,92,0.222,103,0.248,17,0.041,238,57.30%,58.60%
04M007,P.S. 007 Samuel Stern,2019-20,366,37,27,31,22,24,26,34,45,53,67,0,0,0,0,169,0.462,197,0.538,18,0.049,102,0.279,228,0.623,7,0.019,11,0.03,103,0.281,43,0.117,335,91.50%,92.40%
04M012,Tag Young Scholars,2019-20,600,0,50,60,64,64,64,96,66,62,74,0,0,0,0,294,0.49,306,0.51,271,0.452,72,0.12,83,0.138,61,0.102,113,0.188,32,0.053,8,0.013,209,34.80%,38.20%
04M037,River East Elementary,2019-20,265,44,36,37,30,32,43,43,0,0,0,0,0,0,0,128,0.483,137,0.517,2,0.008,113,0.426,132,0.498,6,0.023,12,0.045,75,0.283,15,0.057,216,81.50%,83.80%
04M038,P.S. 38 Roberto Clemente,2019-20,243,49,22,36,25,36,36,39,0,0,0,0,0,0,0,123,0.506,120,0.494,6,0.025,88,0.362,134,0.551,5,0.021,10,0.041,76,0.313,26,0.107,224,92.20%,93.30%
04M057,James Weldon Johnson,2019-20,697,51,51,62,68,55,70,84,90,81,85,0,0,0,0,358,0.514,339,0.486,31,0.044,154,0.221,490,0.703,12,0.017,10,0.014,193,0.277,86,0.123,640,91.80%,Above 95%
04M072,The Lexington Academy,2019-20,588,44,56,52,53,50,54,64,73,79,63,0,0,0,0,284,0.483,304,0.517,11,0.019,102,0.173,453,0.77,9,0.015,13,0.022,150,0.255,51,0.087,526,89.50%,91.70%
04M083,P.S. 083 Luis Munoz Rivera,2019-20,371,32,44,48,54,62,62,69,0,0,0,0,0,0,0,194,0.523,177,0.477,36,0.097,60,0.162,262,0.706,2,0.005,11,0.03,82,0.221,25,0.067,322,86.80%,81.10%
04M096,P.S. 096 Joseph Lanzetta,2019-20,405,35,30,27,32,35,34,44,59,57,52,0,0,0,0,185,0.457,220,0.543,8,0.02,93,0.23,277,0.684,13,0.032,14,0.035,128,0.316,74,0.183,380,93.80%,93.60%
04M102,P.S. 102 Jacques Cartier,2019-20,243,31,19,32,46,40,31,44,0,0,0,0,0,0,0,104,0.428,139,0.572,17,0.07,84,0.346,121,0.498,12,0.049,9,0.037,78,0.321,28,0.115,205,84.40%,87.80%
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,2019-20,461,64,38,29,32,34,35,36,59,68,66,0,0,0,0,204,0.443,257,0.557,12,0.026,152,0.33,275,0.597,7,0.015,15,0.033,136,0.295,29,0.063,409,88.70%,93.70%
04M112,P.S. 112 Jose Celso Barbosa,2019-20,322,51,86,93,92,0,0,0,0,0,0,0,0,0,0,143,0.444,179,0.556,7,0.022,70,0.217,222,0.689,2,0.006,21,0.065,135,0.419,61,0.189,260,80.70%,87.40%
04M146,P.S. 146 Ann M. Short,2019-20,389,79,43,46,36,66,66,53,0,0,0,0,0,0,0,181,0.465,208,0.535,18,0.046,98,0.252,260,0.668,4,0.01,9,0.023,139,0.357,58,0.149,Above 95%,Above 95%,92.40%
04M155,P.S. 155 William Paca,2019-20,244,37,24,32,29,29,46,47,0,0,0,0,0,0,0,118,0.484,126,0.516,6,0.025,31,0.127,199,0.816,5,0.02,3,0.012,69,0.283,78,0.32,Above 95%,Above 95%,Above 95%
04M171,P.S. 171 Patrick Henry,2019-20,765,81,75,74,57,67,76,65,92,85,93,0,0,0,0,393,0.514,372,0.486,76,0.099,189,0.247,448,0.586,23,0.03,29,0.038,153,0.2,21,0.027,561,73.30%,78.90%
04M182,The Bilingual Bicultural School,2019-20,296,26,56,31,29,47,54,53,0,0,0,0,0,0,0,154,0.52,142,0.48,2,0.007,16,0.054,276,0.932,0,0,2,0.007,92,0.311,109,0.368,Above 95%,Above 95%,93.50%
04M206,P.S. 206 Jose Celso Barbosa,2019-20,454,0,0,0,0,65,79,90,71,74,75,0,0,0,0,198,0.436,256,0.564,8,0.018,103,0.227,317,0.698,9,0.02,17,0.037,192,0.423,68,0.15,380,83.70%,89.60%
04M224,M.S. 224 Manhattan East School for Arts & Academic,2019-20,208,0,0,0,0,0,0,0,85,60,63,0,0,0,0,108,0.519,100,0.481,14,0.067,64,0.308,98,0.471,8,0.038,24,0.115,47,0.226,5,0.024,136,65.40%,72.30%
04M310,The Judith S. Kaye School,2019-20,147,0,0,0,0,0,0,0,0,0,0,22,37,39,49,58,0.395,89,0.605,13,0.088,63,0.429,58,0.395,7,0.048,6,0.041,62,0.422,8,0.054,118,80.30%,84.90%
04M372,Esperanza Preparatory Academy,2019-20,525,0,0,0,0,0,0,0,64,70,78,72,91,71,79,245,0.467,280,0.533,8,0.015,62,0.118,444,0.846,2,0.004,9,0.017,123,0.234,160,0.305,478,91.00%,94.40%
04M375,Mosaic Preparatory Academy,2019-20,254,41,32,28,26,48,33,46,0,0,0,0,0,0,0,129,0.508,125,0.492,3,0.012,105,0.413,133,0.524,9,0.035,4,0.016,79,0.311,20,0.079,233,91.70%,94.80%
04M377,Renaissance School of the Arts,2019-20,202,0,0,0,0,0,0,0,68,76,58,0,0,0,0,125,0.619,77,0.381,1,0.005,88,0.436,106,0.525,7,0.035,0,0,53,0.262,11,0.054,188,93.10%,93.20%
04M435,Manhattan Center for Science and Mathematics,2019-20,"1,647",0,0,0,0,0,0,0,0,0,0,384,413,435,415,827,0.502,820,0.498,353,0.214,322,0.196,838,0.509,27,0.016,107,0.065,228,0.138,96,0.058,1326,80.50%,76.00%
04M495,Park East High School,2019-20,380,0,0,0,0,0,0,0,0,0,0,99,94,95,92,191,0.503,189,0.497,26,0.068,100,0.263,234,0.616,13,0.034,7,0.018,78,0.205,12,0.032,304,80.00%,77.30%
04M497,Central Park East I,2019-20,174,24,26,24,22,23,24,31,0,0,0,0,0,0,0,82,0.471,92,0.529,15,0.086,21,0.121,72,0.414,22,0.126,44,0.253,42,0.241,10,0.057,75,43.10%,56.80%
04M555,Central Park East High School,2019-20,512,0,0,0,0,0,0,0,0,0,0,143,134,126,109,330,0.645,182,0.355,103,0.201,127,0.248,244,0.477,9,0.018,29,0.057,80,0.156,9,0.018,404,78.90%,74.20%
04M610,Young Women's Leadership School,2019-20,474,0,0,0,0,0,0,0,46,50,56,82,78,81,81,474,1,0,0,35,0.074,122,0.257,274,0.578,26,0.055,17,0.036,90,0.19,8,0.017,374,78.90%,80.90%
04M680,"Heritage School, The",2019-20,311,0,0,0,0,0,0,0,0,0,0,100,80,60,71,159,0.511,152,0.489,11,0.035,79,0.254,202,0.65,10,0.032,9,0.029,64,0.206,24,0.077,285,91.60%,88.00%
04M825,Isaac Newton Middle School for Math & Science,2019-20,281,0,0,0,0,0,0,0,111,95,75,0,0,0,0,138,0.491,143,0.509,17,0.06,59,0.21,202,0.719,0,0,3,0.011,67,0.238,24,0.085,251,89.30%,91.50%
04M964,Central Park East II,2019-20,466,33,44,39,41,46,51,58,53,50,51,0,0,0,0,243,0.521,223,0.479,25,0.054,147,0.315,211,0.453,22,0.047,61,0.131,141,0.303,20,0.043,273,58.60%,71.30%
05M030,P.S. 030 Hernandez/Hughes,2019-20,236,34,29,31,37,34,33,38,0,0,0,0,0,0,0,124,0.525,112,0.475,5,0.021,103,0.436,120,0.508,3,0.013,5,0.021,59,0.25,16,0.068,Above 95%,Above 95%,92.50%
05M036,P.S. 036 Margaret Douglas,2019-20,374,92,43,43,51,39,51,55,0,0,0,0,0,0,0,189,0.505,185,0.495,6,0.016,136,0.364,215,0.575,5,0.013,12,0.032,111,0.297,35,0.094,334,89.30%,88.70%
05M046,P.S. 046 Arthur Tappan,2019-20,557,44,52,53,52,48,53,65,59,74,57,0,0,0,0,278,0.499,279,0.501,5,0.009,269,0.483,271,0.487,5,0.009,7,0.013,180,0.323,36,0.065,523,93.90%,Above 95%
05M092,P.S. 092 Mary McLeod Bethune,2019-20,243,17,34,28,26,43,46,49,0,0,0,0,0,0,0,115,0.473,128,0.527,1,0.004,135,0.556,101,0.416,2,0.008,4,0.016,86,0.354,15,0.062,Above 95%,Above 95%,Above 95%
05M123,P.S. 123 Mahalia Jackson,2019-20,461,60,38,34,24,39,51,47,57,46,65,0,0,0,0,205,0.445,256,0.555,11,0.024,225,0.488,197,0.427,13,0.028,15,0.033,117,0.254,65,0.141,Above 95%,Above 95%,94.40%
05M125,P.S. 125 Ralph Bunche,2019-20,303,36,54,49,46,42,41,35,0,0,0,0,0,0,0,136,0.449,167,0.551,15,0.05,106,0.35,107,0.353,17,0.056,58,0.191,58,0.191,6,0.02,196,64.70%,63.50%
05M129,P.S. 129 John H. Finley,2019-20,377,60,31,23,25,33,33,27,41,42,62,0,0,0,0,179,0.475,198,0.525,8,0.021,191,0.507,162,0.43,9,0.024,7,0.019,120,0.318,27,0.072,352,93.40%,90.40%
05M133,P.S. 133 Fred R Moore,2019-20,225,47,23,32,25,31,27,40,0,0,0,0,0,0,0,95,0.422,130,0.578,8,0.036,104,0.462,102,0.453,4,0.018,7,0.031,85,0.378,20,0.089,207,92.00%,92.10%
05M148,Eagle Academy for Young Men of Harlem,2019-20,382,0,0,0,0,0,0,0,43,48,53,109,43,35,51,0,0,382,1,1,0.003,250,0.654,109,0.285,16,0.042,6,0.016,123,0.322,25,0.065,296,77.50%,83.50%
05M154,P.S. 154 Harriet Tubman,2019-20,282,65,44,21,30,38,37,47,0,0,0,0,0,0,0,114,0.404,168,0.596,10,0.035,166,0.589,83,0.294,3,0.011,20,0.071,79,0.28,36,0.128,265,94.00%,92.60%
05M157,The Urban Assembly School for Global Commerce,2019-20,233,0,0,0,0,0,0,0,0,0,0,79,65,42,47,113,0.485,120,0.515,1,0.004,104,0.446,121,0.519,3,0.013,4,0.017,78,0.335,25,0.107,205,88.00%,93.80%
05M161,P.S. 161 Pedro Albizu Campos,2019-20,762,0,43,51,64,64,81,96,121,117,125,0,0,0,0,382,0.501,380,0.499,11,0.014,157,0.206,571,0.749,6,0.008,17,0.022,213,0.28,184,0.241,709,93.00%,94.30%
05M175,P.S. 175 Henry H Garnet,2019-20,343,61,29,50,54,54,50,45,0,0,0,0,0,0,0,164,0.478,179,0.522,19,0.055,181,0.528,130,0.379,4,0.012,9,0.026,68,0.198,42,0.122,311,90.70%,88.30%
05M194,P.S. 194 Countee Cullen,2019-20,185,18,27,18,24,36,35,27,0,0,0,0,0,0,0,80,0.432,105,0.568,2,0.011,101,0.546,74,0.4,4,0.022,4,0.022,52,0.281,34,0.184,Above 95%,Above 95%,Above 95%
05M197,P.S. 197 John B. Russwurm,2019-20,289,47,39,31,30,48,41,53,0,0,0,0,0,0,0,127,0.439,162,0.561,5,0.017,171,0.592,107,0.37,1,0.003,5,0.017,86,0.298,22,0.076,265,91.70%,92.40%
05M200,P.S. 200- The James McCune Smith School,2019-20,375,82,45,46,42,39,57,64,0,0,0,0,0,0,0,176,0.469,199,0.531,1,0.003,229,0.611,124,0.331,13,0.035,8,0.021,96,0.256,35,0.093,330,88.00%,89.40%
05M285,Harlem Renaissance High School,2019-20,213,0,0,0,0,0,0,0,0,0,0,26,45,60,82,102,0.479,111,0.521,0,0,110,0.516,93,0.437,7,0.033,3,0.014,67,0.315,42,0.197,183,85.90%,89.40%
05M286,Urban Assembly Academy for Future Leaders,2019-20,103,0,0,0,0,0,0,0,25,33,45,0,0,0,0,47,0.456,56,0.544,2,0.019,60,0.583,37,0.359,3,0.029,1,0.01,47,0.456,5,0.049,92,89.30%,94.20%
05M304,Mott Hall High School,2019-20,239,0,0,0,0,0,0,0,0,0,0,77,63,42,57,117,0.49,122,0.51,9,0.038,90,0.377,128,0.536,3,0.013,9,0.038,68,0.285,43,0.18,218,91.20%,91.90%
